Periodo,TRM,Tasa,Flujos_Financieros,TRM_Var,Tasa_Var,Volatilidad_TRM,Volatilidad_Tasa,Score_Riesgo,Riesgo_Label
1991-11,694.1775,,,,,,,0.0,0
1991-12,630.4125806451614,,,-9.185679362243615,,,,0.0,0
1992-01,644.058064516129,,,2.164532290425236,,8.025811627504716,,3.2103246510018866,2
1992-02,635.671724137931,,,-1.3021093656359173,,5.816579533588036,,2.3266318134352146,2
1992-03,640.501935483871,,,0.7598593995179481,,1.7436754997446449,,0.697470199897858,1
1992-04,649.955,,,1.4758838330422464,,1.4423159842059632,,0.5769263936823853,1
1992-05,659.7712903225806,,,1.5103030706095977,,0.4236825416905199,,0.16947301667620795,0
1992-06,677.1653333333333,,,2.636374644651207,,0.6602980132243449,,0.264119205289738,0
1992-07,704.7722580645161,,,4.076836685553342,,1.286472106044324,,0.5145888424177296,0
1992-08,694.1745161290322,,,-1.5037115627377307,,2.8970606784404955,,1.1588242713761983,2
1992-09,697.5033333333333,,,0.4795360715434738,,2.828909143054449,,1.1315636572217798,2
1992-10,707.8048387096775,,,1.476911275407633,,1.5172420692075255,,0.6068968276830102,1
1992-11,722.5673333333333,,,2.0856730296684223,,0.8108662136863906,,0.32434648547455625,0
1992-12,733.8293548387096,,,1.5586120470493237,,0.3304187164132151,,0.13216748656528604,0
1993-01,745.1825806451612,,,1.5471206938767024,,0.3076697225337244,,0.12306788901348975,0
1993-02,749.7317857142858,,,0.6104819392297012,,0.5441162420626805,,0.2176464968250722,0
1993-03,764.7003225806451,,,1.996518908705247,,0.7071479563418503,,0.28285918253674014,0
1993-04,771.472,,,0.8855334853923535,,0.7338301852396506,,0.29353207409586024,0
1993-05,779.4458064516128,,,1.0335833901441438,,0.6032484560026233,,0.24129938240104934,0
1993-06,784.4903333333333,,,0.6471940499218842,,0.19494494224216166,,0.07797797689686467,0
1993-07,794.9967741935483,,,1.339269639636309,,0.3468211420037129,,0.13872845680148516,0
1993-08,804.6377419354839,,,1.2127052655924953,,0.36850827618588,,0.147403310474352,0
